,Unnamed: 0,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line ,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff,season
141,141,09/06/2008,Eastern Michigan,10,28,127,31,14,215,0,0,Michigan State,42,52,238,16,11,180,0,1,V,-21,-32,-24,-111,15,3,35,0,-1,2008
142,142,09/06/2008,Florida,26,27,89,35,21,256,0,0,Miami-Florida,3,37,61,22,12,79,0,0,H,23,23,-10,28,13,9,177,0,0,2008
143,143,09/06/2008,Florida Atlantic,49,25,196,35,22,358,0,1,U-A-B,34,35,156,48,26,326,0,0,H,14,15,-10,40,-13,-4,32,0,1,2008
144,144,09/06/2008,Florida Intl,0,27,56,36,19,162,2,1,Iowa,42,41,241,25,17,271,1,1,V,-27,-42,-14,-185,11,2,-109,1,0,2008
145,145,09/06/2008,Florida State,69,32,290,25,17,271,0,0,Western Carolina,0,33,57,25,10,119,0,1,H, ,69,-1,233,0,7,152,0,-1,2008
146,146,09/06/2008,Georgia,56,36,263,33,23,289,0,1,Central Michigan,17,22,59,44,23,250,1,0,H,24,39,14,204,-11,0,39,-1,1,2008
147,147,09/06/2008,Georgia Tech,19,40,162,13,6,73,0,3,Boston College,16,41,120,36,18,142,2,1,V,-6.5,3,-1,42,-23,-12,-69,-2,2,2008
148,148,09/06/2008,Hawaii,36,34,133,34,20,305,0,2,Weber State,17,26,-20,40,24,233,2,0,H, ,19,8,153,-6,-4,72,-2,2,2008
149,149,09/06/2008,Houston,37,22,96,62,35,387,0,1,Oklahoma State,56,51,379,21,14,320,2,1,V,-15.5,-19,-29,-283,41,21,67,-2,0,2008
150,150,09/06/2008,Idaho,42,41,235,13,8,170,0,0,Idaho State,27,22,75,66,36,308,4,0,H, ,15,19,160,-53,-28,-138,-4,0,2008
151,151,09/06/2008,Illinois,47,53,399,27,17,134,2,3,Eastern Illinois,21,37,176,17,7,102,2,1,H, ,26,16,223,10,10,32,0,2,2008
